EngS,EngF,ChiF,ChiS,SEngS,ID,BookS
Gen,Genesis,創世記,創,Ge,1,Gen
Ex,Exodus,出埃及記,出,Ex,2,Exo
Lev,Leviticus,利未記,利,Le,3,Lev
Num,Numbers,民數記,民,Nu,4,Num
Deut,Deuteronomy,申命記,申,De,5,Deu
Josh,Joshua,約書亞記,書,Jos,6,Jos
Judg,Judges,士師記,士,Jud,7,Jug
Ruth,Ruth,路得記,得,Ru,8,Rut
1 Sam,First Samuel,撒母耳記上,撒上,1Sa,9,1Sa
2 Sam,Second Samuel,撒母耳記下,撒下,2Sa,10,2Sa
1 Kin,First Kings,列王紀上,王上,1Ki,11,1Ki
2 Kin,Second Kings,列王紀下,王下,2Ki,12,2Ki
1 Chr,First Chronicles,歷代志上,代上,1Ch,13,1Ch
2 Chr,Second Chronicles,歷代志下,代下,2Ch,14,2Ch
Ezra,Ezra,以斯拉記,拉,Ezr,15,Ezr
Neh,Nehemiah,尼希米記,尼,Ne,16,Neh
Esth,Esther,以斯帖記,斯,Es,17,Est
Job,Job,約伯記,伯,Job,18,Job
Ps,Psalms,詩篇,詩,Ps,19,Psm
Prov,Proverbs,箴言,箴,Pr,20,Pro
Eccl,Ecclesiastes,傳道書,傳,Ec,21,Ecc
Song,Song of Solomon,雅歌,歌,So,22,Son
Is,Isaiah,以賽亞書,賽,Isa,23,Isa
Jer,Jeremiah,耶利米書,耶,Jer,24,Jer
Lam,Lamentations,耶利米哀歌,哀,La,25,Lam
Ezek,Ezekiel,以西結書,結,Eze,26,Eze
Dan,Daniel,但以理書,但,Da,27,Dan
Hos,Hosea,何西阿書,何,Ho,28,Hos
Joel,Joel,約珥書,珥,Joe,29,Joe
Amos,Amos,阿摩司書,摩,Am,30,Amo
Obad,Obadiah,俄巴底亞書,俄,Ob,31,Oba
Jon,Jonah,約拿書,拿,Jon,32,Jon
Mic,Micah,彌迦書,彌,Mic,33,Mic
Nah,Nahum,那鴻書,鴻,Na,34,Nah
Hab,Habakkuk,哈巴谷書,哈,Hab,35,Hab
Zeph,Zephaniah,西番雅書,番,Zep,36,Zep
Hag,Haggai,哈該書,該,Hag,37,Hag
Zech,Zechariah,撒迦利亞書,亞,Zec,38,Zec
Mal,Malachi,瑪拉基書,瑪,Mal,39,Mal
Matt,Matthew,馬太福音,太,Mt,40,Mat
Mark,Mark,馬可福音,可,Mr,41,Mak
Luke,Luke,路加福音,路,Lu,42,Luk
John,John,約翰福音,約,Joh,43,Jhn
Acts,Acts,使徒行傳,徒,Ac,44,Act
Rom,Romans,羅馬書,羅,Ro,45,Rom
1 Cor,First Corinthians,哥林多前書,林前,1Co,46,1Co
2 Cor,Second Corinthians,哥林多後書,林後,2Co,47,2Co
Gal,Galatians,加拉太書,加,Ga,48,Gal
Eph,Ephesians,以弗所書,弗,Eph,49,Eph
Phil,Philippians,腓立比書,腓,Php,50,Phl
Col,Colossians,歌羅西書,西,Col,51,Col
1 Thess,First Thessalonians,帖撒羅尼迦前書,帖前,1Th,52,1Ts
2 Thess,Second Thessalonians,帖撒羅尼迦後書,帖後,2Th,53,2Ts
1 Tim,First Timothy,提摩太前書,提前,1Ti,54,1Ti
2 Tim,Second Timothy,提摩太後書,提後,2Ti,55,2Ti
Titus,Titus,提多書,多,Tit,56,Tit
Philem,Philemon,腓利門書,門,Phm,57,Phm
Heb,Hebrews,希伯來書,來,Heb,58,Heb
James,James,雅各書,雅,Jas,59,Jas
1 Pet,First Peter,彼得前書,彼前,1Pe,60,1Pe
2 Pet,Second Peter,彼得後書,彼後,2Pe,61,2Pe
1 John,First John,約翰一書,約一,1Jo,62,1Jn
2 John,second John,約翰二書,約二,2Jo,63,2Jn
3 John,Third John,約翰三書,約三,3Jo,64,3Jn
Jude,Jude,猶大書,猶,Jude,65,Jud
Rev,Revelation,啟示錄,啟,Re,66,Rev
