EngS,EngF,ChiF,ChiS,SEngS,ID,BookS,BookF
Gen,Genesis,創世記,創,Ge,1,Gen,Genesis (創世記)
Ex,Exodus,出埃及記,出,Ex,2,Exo,Exodus (出埃及記)
Lev,Leviticus,利未記,利,Le,3,Lev,Leviticus (利未記)
Num,Numbers,民數記,民,Nu,4,Num,Numbers (民數記)
Deut,Deuteronomy,申命記,申,De,5,Deu,Deuteronomy (申命記)
Josh,Joshua,約書亞記,書,Jos,6,Jos,Joshua (約書亞記)
Judg,Judges,士師記,士,Jud,7,Jug,Judges (士師記)
Ruth,Ruth,路得記,得,Ru,8,Rut,Ruth (路得記)
1 Sam,First Samuel,撒母耳記上,撒上,1Sa,9,1Sa,1 Samuel (撒母耳記上)
2 Sam,Second Samuel,撒母耳記下,撒下,2Sa,10,2Sa,2 Samuel (撒母耳記下)
1 Kin,First Kings,列王紀上,王上,1Ki,11,1Ki,1 Kings (列王紀上)
2 Kin,Second Kings,列王紀下,王下,2Ki,12,2Ki,2 Kings (列王紀下)
1 Chr,First Chronicles,歷代志上,代上,1Ch,13,1Ch,1 Chronicles (歷代志上)
2 Chr,Second Chronicles,歷代志下,代下,2Ch,14,2Ch,2 Chronicles (歷代志下)
Ezra,Ezra,以斯拉記,拉,Ezr,15,Ezr,Ezra (以斯拉記)
Neh,Nehemiah,尼希米記,尼,Ne,16,Neh,Nehemiah (尼希米記)
Esth,Esther,以斯帖記,斯,Es,17,Est,Esther (以斯帖記)
Job,Job,約伯記,伯,Job,18,Job,Job (約伯記)
Ps,Psalms,詩篇,詩,Ps,19,Psm,Psalms (詩篇)
Prov,Proverbs,箴言,箴,Pr,20,Pro,Proverbs (箴言)
Eccl,Ecclesiastes,傳道書,傳,Ec,21,Ecc,Ecclesiastes (傳道書)
Song,Song of Solomon,雅歌,歌,So,22,Son,Song of Solomon (雅歌)
Is,Isaiah,以賽亞書,賽,Isa,23,Isa,Isaiah (以賽亞書)
Jer,Jeremiah,耶利米書,耶,Jer,24,Jer,Jeremiah (耶利米書)
Lam,Lamentations,耶利米哀歌,哀,La,25,Lam,Lamentations (耶利米哀歌)
Ezek,Ezekiel,以西結書,結,Eze,26,Eze,Ezekiel (以西結書)
Dan,Daniel,但以理書,但,Da,27,Dan,Daniel (但以理書)
Hos,Hosea,何西阿書,何,Ho,28,Hos,Hosea (何西阿書)
Joel,Joel,約珥書,珥,Joe,29,Joe,Joel (約珥書)
Amos,Amos,阿摩司書,摩,Am,30,Amo,Amos (阿摩司書)
Obad,Obadiah,俄巴底亞書,俄,Ob,31,Oba,Obadiah (俄巴底亞書)
Jon,Jonah,約拿書,拿,Jon,32,Jon,Jonah (約拿書)
Mic,Micah,彌迦書,彌,Mic,33,Mic,Micah (彌迦書)
Nah,Nahum,那鴻書,鴻,Na,34,Nah,Nahum (那鴻書)
Hab,Habakkuk,哈巴谷書,哈,Hab,35,Hab,Habakkuk (哈巴谷書)
Zeph,Zephaniah,西番雅書,番,Zep,36,Zep,Zephaniah (西番雅書)
Hag,Haggai,哈該書,該,Hag,37,Hag,Haggai (哈該書)
Zech,Zechariah,撒迦利亞書,亞,Zec,38,Zec,Zechariah (撒迦利亞書)
Mal,Malachi,瑪拉基書,瑪,Mal,39,Mal,Malachi (瑪拉基書)
Matt,Matthew,馬太福音,太,Mt,40,Mat,Matthew (馬太福音)
Mark,Mark,馬可福音,可,Mr,41,Mak,Mark (馬可福音)
Luke,Luke,路加福音,路,Lu,42,Luk,Luke (路加福音)
John,John,約翰福音,約,Joh,43,Jhn,John (約翰福音)
Acts,Acts,使徒行傳,徒,Ac,44,Act,Acts (使徒行傳)
Rom,Romans,羅馬書,羅,Ro,45,Rom,Romans (羅馬書)
1 Cor,First Corinthians,哥林多前書,林前,1Co,46,1Co,1 Corinthians (哥林多前書)
2 Cor,Second Corinthians,哥林多後書,林後,2Co,47,2Co,2 Corinthians (哥林多後書)
Gal,Galatians,加拉太書,加,Ga,48,Gal,Galatians (加拉太書)
Eph,Ephesians,以弗所書,弗,Eph,49,Eph,Ephesians (以弗所書)
Phil,Philippians,腓立比書,腓,Php,50,Phl,Philippians (腓立比書)
Col,Colossians,歌羅西書,西,Col,51,Col,Colossians (歌羅西書)
1 Thess,First Thessalonians,帖撒羅尼迦前書,帖前,1Th,52,1Ts,1 Thessalonians (帖撒羅尼迦前書)
2 Thess,Second Thessalonians,帖撒羅尼迦後書,帖後,2Th,53,2Ts,2 Thessalonians (帖撒羅尼迦後書)
1 Tim,First Timothy,提摩太前書,提前,1Ti,54,1Ti,1 Timothy (提摩太前書)
2 Tim,Second Timothy,提摩太後書,提後,2Ti,55,2Ti,2 Timothy (提摩太後書)
Titus,Titus,提多書,多,Tit,56,Tit,Titus (提多書)
Philem,Philemon,腓利門書,門,Phm,57,Phm,Philemon (腓利門書)
Heb,Hebrews,希伯來書,來,Heb,58,Heb,Hebrews (希伯來書)
James,James,雅各書,雅,Jas,59,Jas,James (雅各書)
1 Pet,First Peter,彼得前書,彼前,1Pe,60,1Pe,1 Peter (彼得前書)
2 Pet,Second Peter,彼得後書,彼後,2Pe,61,2Pe,2 Peter (彼得後書)
1 John,First John,約翰一書,約一,1Jo,62,1Jn,1 John (約翰壹書)
2 John,second John,約翰二書,約二,2Jo,63,2Jn,2 John (約翰貳書)
3 John,Third John,約翰三書,約三,3Jo,64,3Jn,3 John (約翰參書)
Jude,Jude,猶大書,猶,Jude,65,Jud,Jude (猶大書)
Rev,Revelation,啟示錄,啟,Re,66,Rev,Revelation (啟示錄)
